code,name,value_range,options,candidate_map,依据
0111_0112_04,小麦良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0111_0112_05,小麦订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0111_0113_03,玉米单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0111_0113_04,玉米良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0111_0113_05,玉米订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0111_0119_03,其他谷物单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0111_0119_04,其他谷物良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0111_0119_05,其他谷物订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0112_08,薯/豆/油料种植面积,薯类、豆类、油料种植面积,薯类 / 豆类 / 油料种植面积,"{""薯类"": 100, ""豆类"": 62, ""油料种植面积"": 25}",启发生成（需人工审核）
0112_0121_03,豆类单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0112_0121_04,豆类良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0112_0121_05,豆类订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0112_0122_03,油料单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0112_0122_04,油料良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0112_0122_05,油料订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0112_0123_03,薯类单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0112_0123_04,薯类良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0112_0123_05,薯类订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0113_01,棉麻糖烟种植面积,棉花、麻类、糖料、烟草面积,棉花 / 麻类 / 糖料 / 烟草面积,"{""棉花"": 100, ""麻类"": 75, ""糖料"": 50, ""烟草面积"": 25}",启发生成（需人工审核）
0113_02,订单收购占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0113_0131_03,棉花单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0113_0131_04,棉花良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0113_0131_05,棉花订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0113_0132_03,麻类单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0113_0132_04,麻类良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0113_0132_05,麻类订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0113_0132_08,亚麻订单种植面积,亚麻订单/基地合同种植面积,亚麻订单 / 基地合同种植面积,"{""亚麻订单"": 100, ""基地合同种植面积"": 25}",启发生成（需人工审核）
0113_0133_03,糖料单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0113_0133_04,糖料良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0113_0133_05,糖料订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0113_0134_03,烟草单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0113_0134_04,烟草良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0113_0134_05,烟草订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0114_03,寒地设施（温室/大棚）面积,日光温室/大棚蔬菜面积,日光温室 / 大棚蔬菜面积,"{""日光温室"": 100, ""大棚蔬菜面积"": 25}",启发生成（需人工审核）
0114_05,设施蔬菜面积占比,大棚/温室面积占蔬菜面积比,大棚 / 温室面积占蔬菜面积比,"{""大棚"": 100, ""温室面积占蔬菜面积比"": 25}",启发生成（需人工审核）
0114_0141_03,蔬菜单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0114_0141_04,蔬菜良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0114_0141_05,蔬菜订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0114_0142_03,食用菌单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0114_0142_04,食用菌良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0114_0142_05,食用菌订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0114_0143_03,花卉单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0114_0143_04,花卉良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0114_0143_05,花卉订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0114_0143_07,设施栽培面积占比,温室/大棚花卉面积占比,温室 / 大棚花卉面积占比,"{""温室"": 100, ""大棚花卉面积占比"": 25}",启发生成（需人工审核）
0114_0149_03,其他园艺作物单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0114_0149_04,其他园艺作物良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0114_0149_05,其他园艺作物订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0115_02,寒地小浆果种植面积,蓝莓/树莓/沙棘等面积,蓝莓 / 树莓 / 沙棘等面积,"{""蓝莓"": 100, ""树莓"": 62, ""沙棘等面积"": 25}",启发生成（需人工审核）
0115_0151_03,仁果类和核果类水果单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0115_0151_04,仁果类和核果类水果良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0115_0151_05,仁果类和核果类水果订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0115_0152_03,葡萄单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0115_0152_04,葡萄良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0115_0152_05,葡萄订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0115_0153_03,柑橘类单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0115_0153_04,柑橘类良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0115_0153_05,柑橘类订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0115_0154_03,香蕉等亚热带水果单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0115_0154_04,香蕉等亚热带水果良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0115_0154_05,香蕉等亚热带水果订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0115_0159_03,其他水果单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0115_0159_04,其他水果良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0115_0159_05,其他水果订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0116_02,经济林/茶园面积,坚果、含油果、茶叶等面积,坚果 / 含油果 / 茶叶等面积,"{""坚果"": 100, ""含油果"": 62, ""茶叶等面积"": 25}",启发生成（需人工审核）
0116_0161_03,坚果单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0116_0161_04,坚果良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0116_0161_05,坚果订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0116_0162_03,含油果单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0116_0162_04,含油果良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0116_0162_05,含油果订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0116_0162_08,含油果加工转化率,就地加工/销售占比,就地加工 / 销售占比,"{""就地加工"": 100, ""销售占比"": 25}",启发生成（需人工审核）
0116_0163_03,香料作物单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0116_0163_04,香料作物良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0116_0163_05,香料作物订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0116_0164_03,茶叶单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0116_0164_04,茶叶良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0116_0164_05,茶叶订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0116_0169_03,其他饮料作物单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0116_0169_04,其他饮料作物良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0116_0169_05,其他饮料作物订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0117_02,人参种植面积,园参/林下参种植面积,园参 / 林下参种植面积,"{""园参"": 100, ""林下参种植面积"": 25}",启发生成（需人工审核）
0117_0171_03,中草药单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0117_0171_04,中草药良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0117_0171_05,中草药订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0117_0179_03,其他中药材单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0117_0179_04,其他中药材良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0117_0179_05,其他中药材订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0118_0181_03,草种植单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0118_0181_04,草种植良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0118_0181_05,草种植订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0118_0182_03,天然草原割草单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0118_0182_04,天然草原割草良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0118_0182_05,天然草原割草订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0119_0190_03,其他农业单位面积产量,总产量/播种面积，与区域平均对比,总产量 / 播种面积，与区域平均对比,"{""总产量"": 100, ""播种面积，与区域平均对比"": 25}",启发生成（需人工审核）
0119_0190_04,其他农业良种覆盖率,审定/登记良种面积占比,审定 / 登记良种面积占比,"{""审定"": 100, ""登记良种面积占比"": 25}",启发生成（需人工审核）
0119_0190_05,其他农业订单销售占比,订单/合同收购量占比,订单 / 合同收购量占比,"{""订单"": 100, ""合同收购量占比"": 25}",启发生成（需人工审核）
0121_0211_01,林木经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0121_0211_02,林木年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0121_0211_03,林木抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0121_0211_04,林木采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0121_0212_01,林木经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0121_0212_02,林木年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0121_0212_03,林木抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0121_0212_04,林木采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0122_01,年造林面积,人工造林/更新/飞播面积,人工造林 / 更新 / 飞播面积,"{""人工造林"": 100, ""更新"": 62, ""飞播面积"": 25}",启发生成（需人工审核）
0122_0220_01,造林和经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0122_0220_02,造林和年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0122_0220_03,造林和抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0122_0220_04,造林和采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0123_0231_01,森林经营和经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0123_0231_02,森林经营和年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0123_0231_03,森林经营和抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0123_0231_04,森林经营和采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0123_0232_01,森林经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0123_0232_02,森林年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0123_0232_03,森林抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0123_0232_04,森林采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0124_0241_01,木材经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0124_0241_02,木材年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0124_0241_03,木材抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0124_0241_04,木材采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0124_0242_01,竹材经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0124_0242_02,竹材年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0124_0242_03,竹材抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0124_0242_04,竹材采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0125_01,林产品年采集量,松脂、油茶、山货等采集量,松脂 / 油茶 / 山货等采集量,"{""松脂"": 100, ""油茶"": 62, ""山货等采集量"": 25}",启发生成（需人工审核）
0125_0251_01,木竹材林产品经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0125_0251_02,木竹材林产品年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0125_0251_03,木竹材林产品抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
0125_0251_04,木竹材林产品采伐经营许可合规,是否持有采伐/经营许可且无违规,是否持有采伐 / 经营许可且无违规,"{""是否持有采伐"": 100, ""经营许可且无违规"": 25}",启发生成（需人工审核）
0125_0252_01,非木竹材林产品经营面积,自有+承包林地/苗圃面积,自有+承包林地 / 苗圃面积,"{""自有+承包林地"": 100, ""苗圃面积"": 25}",启发生成（需人工审核）
0125_0252_02,非木竹材林产品年产量,近12个月出材/育苗量,近12个月出材 / 育苗量,"{""近12个月出材"": 100, ""育苗量"": 25}",启发生成（需人工审核）
0125_0252_03,非木竹材林产品抚育更新面积占比,抚育/更新面积占经营面积比,抚育 / 更新面积占经营面积比,"{""抚育"": 100, ""更新面积占经营面积比"": 25}",启发生成（需人工审核）
